;level_0;YEAR;index;VAR1;VAR2;VAR3
79;79;2005;158;1.4787227359108546;1.5429638854296388;0.2423854296388543
80;80;2006;160;1.2768901661211354;1.0725652690519312;0.3808860225128929
81;81;2007;162;1.517923257417453;1.2004981320049812;0.5823110211706102
82;82;2008;164;1.5029167336279632;1.9809160305343512;0.006148854961832
83;83;2009;166;1.4586815273625242;1.8810477657935285;0.0394939907550077
84;84;2010;168;1.228836954997897;0.8235294117647058;0.48772771130041803
85;85;2011;170;1.5235058865360305;0.0;1.5235058865360305
86;86;2012;172;1.268393381266854;1.7853242320819112;0.0616112627986348
87;87;2013;174;1.3778979747945908;1.3599751797329682;0.2936932204296473
88;88;2014;176;1.5073261031604055;1.1320214669051878;0.6665384615384615
89;89;2015;178;1.3502035106469772;1.0114285714285713;0.5183640336134454
90;90;2016;180;1.4586299136590335;1.8799377916018662;0.0418317262830482
