;level_0;YEAR;index;VAR1;VAR2;VAR3
60;60;1986;120;1.5376250890777396;1.9766244057052298;0.0057995245641838
61;61;1987;122;1.3810090906696417;1.0479448602564807;0.4676390165843911
62;62;1988;124;1.3132161506256514;1.0;0.4477593261131167
63;63;1989;126;1.1705254414583794;0.1202651515151515;1.0864272722664603
64;64;1990;128;1.5695848144092275;1.8865154014920826;0.046659374836136
65;65;1991;130;1.4847773169600123;0.0;1.4847773169600123
66;66;1992;132;1.2981621320360484;0.2501289914000718;1.1080444256911757
67;67;1993;134;1.5364350697795748;1.167144906743185;0.5994766857962697
68;68;1994;136;1.5679101208556014;1.9928486293206198;0.0017353992848629
69;69;1995;138;0.6456211702704948;0.7250746757532351;0.3567593961897032
70;70;1996;140;1.184276064307579;0.0;1.184276064307579
71;71;1997;142;1.5004421492912474;0.3130822564217568;1.2410905399975705
72;72;1998;144;1.5511117921774664;1.998248686514886;0.0002259194395796
73;73;1999;146;1.2470910803997413;1.7020250723240116;0.0824937319189971
74;74;2000;148;1.5071474640228755;0.6991749871091736;0.9182136338067782
75;75;2001;150;1.513711880810074;1.8808214154748808;0.0539420608727539
76;76;2002;152;1.296483220583764;0.0;1.296483220583764
77;77;2003;154;0.8728727360656311;0.0;0.8728727360656311
78;78;2004;156;1.5194248551572191;1.873255766510717;0.0445595079425524
79;79;2005;158;1.466496207420335;1.4172839506172838;0.3403413580246913
80;80;2006;160;1.2921456361346335;1.068850988997061;0.392455925347951
81;81;2007;162;1.4943367716583777;1.195692883895131;0.5621651061173533
82;82;2008;164;1.5014713236230066;1.981806775407779;0.0058350062735257
83;83;2009;166;1.4366789412973637;1.839252336448598;0.0503772585669781
84;84;2010;168;1.2011584331673173;0.8;0.4944975636020998
85;85;2011;170;1.5217825541084982;0.0;1.5217825541084982
86;86;2012;172;1.253746700979859;1.6562180579216355;0.0921744463373083
87;87;2013;174;1.353128555106704;1.2473770999402332;0.3650310031467599
88;88;2014;176;1.5093842775581905;1.0965085638998682;0.6937743741765481
89;89;2015;178;1.3508060086682427;1.0023640661938533;0.4930689519306541
90;90;2016;180;1.4323551178976315;1.8664790494058787;0.0451879299562226
