PT_ID;TILE;SECTION;VAR1_sum;VAR2_sum;VAR3_sum;VAR1_mean;VAR2_mean;VAR3_mean
40989521;40;LKO_CAN;21.279;16;8.28;0.8184230769230769;0.6153846153846154;0.31846153846153846
40989522;40;LKO_CAN;18.101;14;5.202;0.9050499999999999;0.7;0.2601
40989523;40;LKO_CAN;18.736;13;7.813;0.8516363636363636;0.5909090909090909;0.35513636363636364
40989524;40;LKO_CAN;18.006;15;4.553;0.9003;0.75;0.22765
40989525;40;LKO_CAN;20.172;14;9.126;0.7758461538461539;0.5384615384615384;0.351
40989526;40;LKO_CAN;20.832;14;9.334;0.8012307692307693;0.5384615384615384;0.359
40989527;40;LKO_CAN;1.7790000000000001;1;1.446;0.19766666666666668;0.1111111111111111;0.16066666666666665
40989528;40;LKO_CAN;20.914;11;12.093;0.7745925925925926;0.4074074074074074;0.4478888888888889
40989529;40;LKO_CAN;10.966;14;0.496;0.7310666666666666;0.9333333333333333;0.03306666666666667
40989530;40;LKO_CAN;2.0;2;0.0;1.0;1.0;0.0
40989557;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40989558;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40989559;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40990288;40;LKO_CAN;6.856;8;0.0;0.857;1.0;0.0
40990289;40;LKO_CAN;20.805;10;11.676;0.866875;0.4166666666666667;0.4865
40990499;40;LKO_CAN;0.25;0;0.25;0.25;0.0;0.25
40990500;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40990501;40;LKO_CAN;0.251;0;0.251;0.251;0.0;0.251
40990502;40;LKO_CAN;0.202;0;0.202;0.202;0.0;0.202
40990503;40;LKO_CAN;0.231;0;0.231;0.231;0.0;0.231
40990504;40;LKO_CAN;0.169;0;0.169;0.169;0.0;0.169
40990505;40;LKO_CAN;0.317;0;0.317;0.317;0.0;0.317
40990506;40;LKO_CAN;0.481;0;0.481;0.2405;0.0;0.2405
40990507;40;LKO_CAN;2.498;2;1.832;0.27755555555555556;0.2222222222222222;0.20355555555555557
40990508;40;LKO_CAN;4.774;4;3.781;0.298375;0.25;0.2363125
40990509;40;LKO_CAN;13.485;9;10.009;0.5394;0.36;0.40036
40990510;40;LKO_CAN;12.608;9;8.671;0.48492307692307696;0.34615384615384615;0.33349999999999996
40990511;40;LKO_CAN;19.15;16;6.0009999999999994;0.7979166666666666;0.6666666666666666;0.25004166666666666
40990512;40;LKO_CAN;18.791;14;7.806;0.7829583333333333;0.5833333333333334;0.32525
40990513;40;LKO_CAN;18.188;11;8.379;0.866095238095238;0.5238095238095238;0.39899999999999997
40990514;40;LKO_CAN;20.012;14;7.8309999999999995;0.8700869565217392;0.6086956521739131;0.3404782608695652
40990515;40;LKO_CAN;21.046;15;8.393;0.8418399999999999;0.6;0.33572
40990516;40;LKO_CAN;20.956;15;8.327;0.83824;0.6;0.33308
40990517;40;LKO_CAN;19.659;14;8.779;0.7561153846153845;0.5384615384615384;0.33765384615384614
40990518;40;LKO_CAN;20.053;17;6.302;0.7712692307692308;0.6538461538461539;0.24238461538461537
40990519;40;LKO_CAN;19.573;16;6.804;0.7829200000000001;0.64;0.27216
40990520;40;LKO_CAN;20.492;15;9.097;0.758962962962963;0.5555555555555556;0.3369259259259259
40990521;40;LKO_CAN;21.379;17;8.458;0.8222692307692309;0.6538461538461539;0.3253076923076923
40990522;40;LKO_CAN;21.631;17;7.99;0.8319615384615384;0.6538461538461539;0.30730769230769234
40990523;40;LKO_CAN;18.724;15;6.256;0.8510909090909091;0.6818181818181818;0.2843636363636364
40990524;40;LKO_CAN;21.448;17;8.45;0.824923076923077;0.6538461538461539;0.32499999999999996
40990525;40;LKO_CAN;20.934;16;8.724;0.8051538461538462;0.6153846153846154;0.33553846153846156
40990526;40;LKO_CAN;20.095;14;8.692;0.8372916666666667;0.5833333333333334;0.3621666666666667
40990527;40;LKO_CAN;2.469;1;2.136;0.3527142857142857;0.14285714285714285;0.30514285714285716
40990528;40;LKO_CAN;2.669;1;2.3360000000000003;0.333625;0.125;0.29200000000000004
40990529;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40990556;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40990557;40;LKO_CAN;0.984;1;0.0;0.984;1.0;0.0
40990558;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40990559;40;LKO_CAN;1.0;1;0.0;1.0;1.0;0.0
40991288;40;LKO_CAN;20.735;10;11.912;0.8294;0.4;0.47648
40991289;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40991499;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40991500;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40991501;40;LKO_CAN;0.333;0;0.333;0.333;0.0;0.333
40991502;40;LKO_CAN;0.218;0;0.218;0.218;0.0;0.218
40991503;40;LKO_CAN;0.257;0;0.257;0.257;0.0;0.257
40991504;40;LKO_CAN;0.195;0;0.195;0.195;0.0;0.195
40991505;40;LKO_CAN;0.141;0;0.141;0.141;0.0;0.141
40991506;40;LKO_CAN;0.9570000000000001;2;0.333;0.319;0.6666666666666666;0.111
