PT_ID;XVAL;YVAL;X_COORD;Y_COORD
40898455;635265;5034625;4.5369877829322975;-37.18637169928106
40898473;635445;5034625;4.5382716700010395;-37.186292833264005
40899292;633635;5034635;4.525357023192163;-37.187013773576176
40899455;635265;5034635;4.5369833865913485;-37.186300624024064
40900411;634825;5034645;4.533840599817252;-37.18642223776181
40900413;634845;5034645;4.53398325411009;-37.18641348209696
40900414;634855;5034645;4.534054581249997;-37.18640910416014
40900415;634865;5034645;4.534125908385564;-37.18640472615375
40900416;634875;5034645;4.534197235516788;-37.18640034807776
40901291;633625;5034655;4.525276925524425;-37.1868759936282
40901411;634825;5034655;4.5338362065239926;-37.1863511627665
40901412;634835;5034655;4.533907533603188;-37.186346784966084
40901413;634845;5034655;4.533978860678043;-37.18634240709608
40901415;634865;5034655;4.534121514814728;-37.18633365114731
40901416;634875;5034655;4.534192841876559;-37.18632927306854
40901453;635245;5034655;4.53683194011171;-37.18616723523456
40902291;633625;5034665;4.525272540555539;-37.18680491903624
40902410;634815;5034665;4.53376048621377;-37.18628446557442
40902412;634835;5034665;4.5339031402377135;-37.1862757100376
40902415;634865;5034665;4.534117121241073;-37.18626257621046
40902419;634905;5034665;4.534402429184772;-37.18624506346674
40902420;634915;5034665;4.534473756159843;-37.18624068510684
40902422;634935;5034665;4.53461641009696;-37.18623192817829
40902423;634945;5034665;4.534687737059005;-37.18622754960963
40902453;635245;5034665;4.536827543901081;-37.186096160191894
40902459;635305;5034665;4.537255504800407;-37.1860698747929
40902473;635445;5034665;4.538254079623924;-37.18600853245294
40903290;633615;5034675;4.5251968281186645;-37.18673821390011
40903408;634795;5034675;4.5336134390817415;-37.18622214598513
40903409;634805;5034675;4.533684766035172;-37.186217768387905
40903410;634815;5034675;4.533756092984262;-37.186213390721086
40903411;634825;5034675;4.533827419929012;-37.18620901298468
40903412;634835;5034675;4.533898746869419;-37.1862046351787
40903413;634845;5034675;4.533970073805485;-37.18620025730311
40903414;634855;5034675;4.5340414007372125;-37.18619587935795
40903415;634865;5034675;4.5341127276645965;-37.1861915013432
40903416;634875;5034675;4.534184054587639;-37.186187123258875
40903419;634905;5034675;4.53439803533072;-37.18617398858835
40903420;634915;5034675;4.534469362236396;-37.18616961022567
40903421;634925;5034675;4.5345406891377324;-37.186165231793396
40903422;634935;5034675;4.5346120160347265;-37.18616085329154
40903423;634945;5034675;4.534683342927377;-37.1861564747201
40903453;635245;5034675;4.53682314768763;-37.186025085218816
40904409;634805;5034685;4.5336803728722375;-37.18614669360693
40904410;634815;5034685;4.533751699751935;-37.18614231593733
40904419;634905;5034685;4.534393641473846;-37.186102913779536
40904422;634935;5034685;4.534607621969669;-37.186089778474376
40904453;635245;5034685;4.536818751471356;-37.18595401031532
40904454;635255;5034685;4.536890078159982;-37.185949629583895
40904461;635325;5034685;4.537389364858726;-37.185918962515395
40905409;634805;5034695;4.533675979706483;-37.18607561889554
40905418;634895;5034695;4.534317920842921;-37.18603621733898
40905422;634935;5034695;4.534603227901794;-37.186018703726816
40905442;635135;5034695;4.536029762154021;-37.18593111896505
40905453;635245;5034695;4.53681435525226;-37.18588293548142
40905454;635255;5034695;4.536885681871491;-37.185878554747205
40905461;635325;5034695;4.537384968084475;-37.185847887659214
40906414;634855;5034705;4.534028220199039;-37.18598265518205
40906415;634865;5034705;4.534099546918242;-37.18597827715895
40906418;634895;5034705;4.5343135270498;-37.185965142672124
40906420;634915;5034705;4.534456180449133;-37.18595638599965
40906458;635295;5034705;4.537166591736086;-37.1857899563362
40906459;635305;5034705;4.5372379182642035;-37.18578557525126
40906460;635315;5034705;4.5373092447879735;-37.18578119409673
40907414;634855;5034715;4.534023826680673;-37.18591158059591
40907415;634865;5034715;4.534095153330482;-37.185907202570036
40907418;634895;5034715;4.534309133253859;-37.185894068074866
40907454;635255;5034715;4.536876889286042;-37.18573640528259
40907455;635265;5034715;4.536948215762141;-37.185732024473204
40907456;635275;5034715;4.537019542233896;-37.18572764359424
40907457;635285;5034715;4.537090868701307;-37.18572326264569
40907458;635295;5034715;4.537162195164373;-37.185718881627544
40907459;635305;5034715;4.537233521623095;-37.18571450053982
40907460;635315;5034715;4.537304848077471;-37.18571011938249
40908441;635125;5034725;4.53594524930664;-37.185722274880305
40908454;635255;5034725;4.536872492989085;-37.185665330654665
40908455;635265;5034725;4.53694381939579;-37.1856609498425
40908458;635295;5034725;4.537157798589837;-37.185647806988484
40908459;635305;5034725;4.537229124979164;-37.18564342589797
40908460;635315;5034725;4.537300451364146;-37.18563904473786
40909418;634895;5034735;4.534300345653513;-37.18575191908911
40909455;635265;5034735;4.536939423026614;-37.18558987528138
40910417;634885;5034745;4.534224625420507;-37.18568522294359
40911289;633605;5034755;4.525090421884482;-37.18617398958717
40911290;633615;5034755;4.525161748798845;-37.186169620248286
40912453;635245;5034765;4.536783581639559;-37.18538541359257
40915289;633605;5034795;4.525072882434579;-37.18588969444239
40919438;635095;5034835;4.5356829226517155;-37.18495359836113
40921461;635325;5034855;4.537314619312575;-37.1847106994242
40923438;635095;5034875;4.535665341752763;-37.18466930378542
40923439;635105;5034875;4.535736667188042;-37.18466492404489
40923447;635185;5034875;4.536307270513934;-37.18462988361549
40923456;635275;5034875;4.536949198923261;-37.1845904578089
40924439;635105;5034885;4.5357322718868565;-37.184593850572156
40924440;635115;5034885;4.5358035972484;-37.18458947075925
40924441;635125;5034885;4.5358749226056;-37.184585090876766
40924442;635135;5034885;4.535946247958456;-37.184580710924685
40924456;635275;5034885;4.53694480244236;-37.184519384288826
40925438;635095;5034895;4.535656551286357;-37.184527156915095
40925439;635105;5034895;4.535727876582849;-37.184522777169
40925440;635115;5034895;4.5357992018749975;-37.184518397353315
40925456;635275;5034895;4.536940405958633;-37.18444831083834
40926455;635265;5034905;4.536864684318833;-37.18438161838931
40926458;635295;5034905;4.537078659765557;-37.18436847538489
40927288;633595;5034915;4.524948938006244;-37.18504118500175
40927445;635165;5034915;4.536147036821365;-37.1843543506001
40927459;635305;5034915;4.53714558820822;-37.184293020924564
40927462;635335;5034915;4.53735956339462;-37.18427987707672
40928445;635165;5034925;4.536142641092521;-37.184283277389014
40928446;635175;5034925;4.536213966150424;-37.18427889714744
40928456;635275;5034925;4.536927216490525;-37.18423509090439
40928457;635285;5034925;4.536998541500642;-37.18423070989734
40929445;635165;5034935;4.536138245360856;-37.18421220424751
40929446;635175;5034935;4.536209570349364;-37.18420782400315
40929447;635185;5034935;4.536280895333528;-37.18420344368921
40932454;635255;5034965;4.536766981015438;-37.18395956046096
40932457;635285;5034965;4.536980955226077;-37.183946417615175
40933454;635255;5034975;4.536762584647927;-37.18388848757275
40933456;635275;5034975;4.536905233987239;-37.18387972573959
40933457;635285;5034975;4.536976558650379;-37.183875344718615
40933472;635435;5034975;4.538046428076089;-37.18380962105337
40934473;635445;5034985;4.538113354980858;-37.18373416604743
40935454;635255;5034995;4.536753791904444;-37.1837463420051
40935474;635455;5034995;4.538180281739668;-37.183658711035925
40936475;635465;5035005;4.538247208352518;-37.18358325601885
40937287;633585;5035015;4.5248337644218335;-37.18433482966038
40937476;635475;5035015;4.538314134819408;-37.18350780099619
40939286;633575;5035035;4.52475366984939;-37.1841970547862
40939287;633585;5035035;4.524824994833727;-37.184192685578296
40939475;635465;5035035;4.538234014835725;-37.18337003822259
40939476;635475;5035035;4.538305338999931;-37.18336565586271
40939477;635485;5035035;4.5383766631597915;-37.183361273433235
40939478;635495;5035035;4.538447987315305;-37.18335689093418
40940474;635455;5035045;4.5381582928919935;-37.1833033480561
40940475;635465;5035045;4.538229616991148;-37.183298965763015
40940476;635475;5035045;4.538300941085959;-37.18329458340035
40940477;635485;5035045;4.538372265176423;-37.183290200968095
40940478;635495;5035045;4.538443589262542;-37.18328581846625
40941474;635455;5035055;4.538153895113991;-37.1832322756689
40941476;635475;5035055;4.538296543169166;-37.18322351100759
40941477;635485;5035055;4.538367867190232;-37.183219128572546
40942473;635445;5035065;4.538078173368457;-37.18316558558034
40942474;635455;5035065;4.538149497333166;-37.18316120335129
