PT_ID;XVAL;YVAL
43808606;641635;5063725
43808609;641665;5063725
43808610;641675;5063725
43809587;641445;5063735
43810598;641555;5063745
43810599;641565;5063745
43811591;641485;5063755
43811592;641495;5063755
43811596;641535;5063755
43811597;641545;5063755
43811599;641565;5063755
43811601;641585;5063755
43811602;641595;5063755
43811622;641795;5063755
43812591;641485;5063765
43812592;641495;5063765
43812623;641805;5063765
43812625;641825;5063765
43812626;641835;5063765
43813533;640905;5063775
43813627;641845;5063775
43819630;641875;5063835
43820631;641885;5063845
43821631;641885;5063855
43825633;641905;5063895
43830636;641935;5063945
43831636;641935;5063955
43833638;641955;5063975
43836640;641975;5064005
43837641;641985;5064015
43838642;641995;5064025
43839644;642015;5064035
43840645;642025;5064045
43841645;642025;5064055
43841646;642035;5064055
43842646;642035;5064065
43842647;642045;5064065
43845650;642075;5064095
43845651;642085;5064095
43858653;642105;5064225
43859653;642105;5064235
43862654;642115;5064265
43869528;640855;5064335
43871528;640855;5064355
43878527;640845;5064425
43912522;640795;5064765
43950524;640815;5065145
43952524;640815;5065165
