PT_ID;VAR1;VAR2;VAR3;SECTION;TILE
40907458;0.125;0;0.125;LKO_CAN;40
40907459;0.271;0;0.271;LKO_CAN;40
40907460;0.333;0;0.333;LKO_CAN;40
40908454;0.16;0;0.16;LKO_CAN;40
40908455;0.333;0;0.333;LKO_CAN;40
40908459;0.274;0;0.274;LKO_CAN;40
40909441;1.0;1;0.0;LKO_CAN;40
40909455;0.148;0;0.148;LKO_CAN;40
40910441;0.333;1;0.0;LKO_CAN;40
40912453;0.333;1;0.0;LKO_CAN;40
40913445;0.332;1;0.0;LKO_CAN;40
40914289;1.0;1;0.0;LKO_CAN;40
40914450;1.0;1;0.0;LKO_CAN;40
40916440;1.0;1;0.0;LKO_CAN;40
40916441;0.333;1;0.0;LKO_CAN;40
40916447;1.0;1;0.0;LKO_CAN;40
40916448;1.0;1;0.0;LKO_CAN;40
40917440;1.0;1;0.0;LKO_CAN;40
40917441;0.333;1;0.0;LKO_CAN;40
40917442;1.0;1;0.0;LKO_CAN;40
40917446;1.0;1;0.0;LKO_CAN;40
40918439;0.216;1;0.0;LKO_CAN;40
40918440;0.516;1;0.0;LKO_CAN;40
40918441;0.333;1;0.0;LKO_CAN;40
40918442;0.798;1;0.0;LKO_CAN;40
40918443;0.296;1;0.0;LKO_CAN;40
40918444;1.0;1;0.0;LKO_CAN;40
40918445;1.0;1;0.0;LKO_CAN;40
40918446;1.0;1;0.0;LKO_CAN;40
40919439;0.254;1;0.0;LKO_CAN;40
40919440;1.0;1;0.0;LKO_CAN;40
40919441;0.33;1;0.0;LKO_CAN;40
40919442;1.0;1;0.0;LKO_CAN;40
40919443;0.992;1;0.0;LKO_CAN;40
40919444;1.0;1;0.0;LKO_CAN;40
40919445;1.0;1;0.0;LKO_CAN;40
40920439;0.862;1;0.0;LKO_CAN;40
40920440;0.228;1;0.0;LKO_CAN;40
40920441;0.297;1;0.0;LKO_CAN;40
40920442;0.191;1;0.0;LKO_CAN;40
40920443;0.88;1;0.0;LKO_CAN;40
40920444;0.926;1;0.0;LKO_CAN;40
40920445;0.333;1;0.0;LKO_CAN;40
40920447;0.3;1;0.0;LKO_CAN;40
40921439;0.939;1;0.0;LKO_CAN;40
40921440;0.141;1;0.0;LKO_CAN;40
40921441;0.977;1;0.0;LKO_CAN;40
40921442;1.0;1;0.0;LKO_CAN;40
40921443;0.739;1;0.0;LKO_CAN;40
40921444;0.706;1;0.0;LKO_CAN;40
40921445;1.0;1;0.0;LKO_CAN;40
40921446;0.121;1;0.0;LKO_CAN;40
40921447;0.333;1;0.0;LKO_CAN;40
40921449;0.229;1;0.0;LKO_CAN;40
40921461;0.33;0;0.33;LKO_CAN;40
40922288;0.433;1;0.0;LKO_CAN;40
40922439;0.452;1;0.0;LKO_CAN;40
40922440;0.478;1;0.0;LKO_CAN;40
40922441;1.0;1;0.0;LKO_CAN;40
40922442;1.0;1;0.0;LKO_CAN;40
40922443;0.316;1;0.0;LKO_CAN;40
40922444;0.221;1;0.0;LKO_CAN;40
40922445;0.308;1;0.0;LKO_CAN;40
40922446;0.295;1;0.0;LKO_CAN;40
40922447;0.314;1;0.0;LKO_CAN;40
40922460;0.146;0;0.146;LKO_CAN;40
40924461;1.0;1;0.0;LKO_CAN;40
40925461;0.219;1;0.0;LKO_CAN;40
40925462;0.887;1;0.0;LKO_CAN;40
40926456;0.333;1;0.0;LKO_CAN;40
40926457;0.332;1;0.0;LKO_CAN;40
40926458;0.139;1;0.0;LKO_CAN;40
40926462;1.0;1;0.0;LKO_CAN;40
40927287;0.812;1;0.0;LKO_CAN;40
40927456;0.333;1;0.0;LKO_CAN;40
40927457;1.0;1;0.0;LKO_CAN;40
40928447;0.513;1;0.0;LKO_CAN;40
40928457;0.115;1;0.0;LKO_CAN;40
40928458;1.0;1;0.0;LKO_CAN;40
40928459;0.31;1;0.0;LKO_CAN;40
40929458;0.13;1;0.0;LKO_CAN;40
40930456;0.894;1;0.0;LKO_CAN;40
40930457;0.241;1;0.0;LKO_CAN;40
40931456;0.261;1;0.0;LKO_CAN;40
40931457;0.333;1;0.0;LKO_CAN;40
40931471;0.635;1;0.0;LKO_CAN;40
40936472;0.257;1;0.0;LKO_CAN;40
40945488;0.359;1;0.0;LKO_CAN;40
40949287;0.759;1;0.0;LKO_CAN;40
40949495;0.503;1;0.0;LKO_CAN;40
40950496;0.778;1;0.0;LKO_CAN;40
40957502;1.0;1;0.0;LKO_CAN;40
40964287;1.0;1;0.0;LKO_CAN;40
40967287;0.566;1;0.0;LKO_CAN;40
40970509;1.0;1;0.0;LKO_CAN;40
40970537;0.856;1;0.0;LKO_CAN;40
40971287;0.46;1;0.0;LKO_CAN;40
40971539;0.63;1;0.0;LKO_CAN;40
40971540;1.0;1;0.0;LKO_CAN;40
40972537;0.566;1;0.0;LKO_CAN;40
40972539;0.334;1;0.0;LKO_CAN;40
40972541;1.0;1;0.0;LKO_CAN;40
40973540;0.584;1;0.0;LKO_CAN;40
40973543;1.0;1;0.0;LKO_CAN;40
40974532;0.539;1;0.0;LKO_CAN;40
40974540;1.0;1;0.0;LKO_CAN;40
40974542;1.0;1;0.0;LKO_CAN;40
40974543;0.718;1;0.0;LKO_CAN;40
40974544;0.576;1;0.0;LKO_CAN;40
40974545;0.612;1;0.0;LKO_CAN;40
40975532;0.691;1;0.0;LKO_CAN;40
40975542;1.0;1;0.0;LKO_CAN;40
40975543;0.891;1;0.0;LKO_CAN;40
40975544;1.0;1;0.0;LKO_CAN;40
40975545;1.0;1;0.0;LKO_CAN;40
